MacroPlot,Plot,Treatment,Year,Species,Status,UV1,RowCount
MBB2_Burn_Milagra,2,B,2013,LUPIN,L,M,45
MBB2_Control_Milagra,2,C,2013,LUPIN,L,M,0
MBB2_Control_Milagra,2,C,2011,LUPIN,L,I,22
MBB2_Control_Milagra,2,C,2011,LUPIN,L,M,35
MBB2_Control_Milagra,2,C,2012,LUPIN,L,M,58
MBB2_Control_Milagra,2,C,2012,LUPIN,L,I,4
MBB2_Mechanical_Milagra,2,M,2011,LUPIN,L,I,53
MBB2_Mechanical_Milagra,2,M,2011,LUPIN,L,M,28
MBB2_Mechanical_Milagra,2,M,2012,LUPIN,L,I,19
MBB2_Mechanical_Milagra,2,M,2012,LUPIN,L,M,64
MBB2_Mechanical_Milagra,2,M,2013,LUPIN,L,I,36
MBB2_Mechanical_Milagra,2,M,2013,LUPIN,L,M,72
MBB2_Control_Milagra,2,C,2013,LUPIN,L,I,0
MBB2_Burn_Milagra,2,B,2010,LUPIN,L,M,40
MBB2_Burn_Milagra,2,B,2010,LUPIN,L,I,5
MBB2_Control_Milagra,2,C,2010,LUPIN,L,M,28
MBB2_Control_Milagra,2,C,2010,LUPIN,L,I,8
MBB2_Mechanical_Milagra,2,M,2010,LUPIN,L,M,37
MBB2_Mechanical_Milagra,2,M,2010,LUPIN,L,I,4
MBB3_Control_Milagra,3,C,2011,LUPIN,L,I,0
MBB3_Burn_Milagra,3,B,2011,LUPIN,L,I,11
MBB3_Burn_Milagra,3,B,2011,LUPIN,L,M,33
MBB3_Burn_Milagra,3,B,2012,LUPIN,L,M,43
MBB3_Burn_Milagra,3,B,2013,LUPIN,L,I,10
MBB3_Burn_Milagra,3,B,2013,LUPIN,L,M,41
MBB3_Control_Milagra,3,C,2011,LUPIN,L,M,19
MBB3_Burn_Milagra,3,B,2012,LUPIN,L,I,0
MBB3_Control_Milagra,3,C,2012,LUPIN,L,I,0
MBB3_Mechanical_Milagra,3,M,2012,LUPIN,L,I,0
MBB3_Control_Milagra,3,C,2012,LUPIN,L,M,18
MBB3_Control_Milagra,3,C,2013,LUPIN,L,I,0
MBB3_Control_Milagra,3,C,2013,LUPIN,L,M,17
MBB3_Mechanical_Milagra,3,M,2011,LUPIN,L,I,18
MBB3_Mechanical_Milagra,3,M,2011,LUPIN,L,M,19
MBB3_Mechanical_Milagra,3,M,2012,LUPIN,L,M,34
MBB3_Mechanical_Milagra,3,M,2013,LUPIN,L,I,2
MBB3_Mechanical_Milagra,3,M,2013,LUPIN,L,M,31
MBB3_Burn_Milagra,3,B,2010,LUPIN,L,M,30
MBB3_Control_Milagra,3,C,2010,LUPIN,L,M,11
MBB3_Mechanical_Milagra,3,M,2010,LUPIN,L,M,22
MBB3_Mechanical_Milagra,3,M,2010,LUPIN,L,I,1
MBB3_Burn_Milagra,3,B,2010,LUPIN,L,I,0
MBB3_Control_Milagra,3,C,2010,LUPIN,L,I,0
MBB6_Burn_Marin,6,B,2011,LUPIN,L,I,6
MBB6_Burn_Marin,6,B,2011,LUPIN,L,M,8
MBB6_Burn_Marin,6,B,2012,LUPIN,L,M,13
MBB6_Burn_Marin,6,B,2013,LUPIN,L,I,2
MBB6_Burn_Marin,6,B,2013,LUPIN,L,M,10
MBB6_Control_Marin,6,C,2011,LUPIN,L,I,1
MBB6_Control_Marin,6,C,2011,LUPIN,L,M,15
MBB6_Burn_Marin,6,B,2012,LUPIN,L,I,0
MBB6_Control_Marin,6,C,2012,LUPIN,L,I,0
MBB6_Mechanical_Marin,6,M,2012,LUPIN,L,I,0
MBB6_Control_Marin,6,C,2012,LUPIN,L,M,13
MBB6_Control_Marin,6,C,2013,LUPIN,L,I,0
MBB6_Control_Marin,6,C,2013,LUPIN,L,M,12
MBB6_Mechanical_Marin,6,M,2011,LUPIN,L,I,28
MBB6_Mechanical_Marin,6,M,2011,LUPIN,L,M,25
MBB6_Mechanical_Marin,6,M,2012,LUPIN,L,M,32
MBB6_Mechanical_Marin,6,M,2013,LUPIN,L,I,18
MBB6_Mechanical_Marin,6,M,2013,LUPIN,L,M,29
MBB6_Burn_Marin,6,B,2010,LUPIN,L,I,3
MBB6_Burn_Marin,6,B,2010,LUPIN,L,M,11
MBB6_Control_Marin,6,C,2010,LUPIN,L,M,14
MBB6_Control_Marin,6,C,2010,LUPIN,L,I,3
MBB6_Mechanical_Marin,6,M,2010,LUPIN,L,I,3
MBB6_Mechanical_Marin,6,M,2010,LUPIN,L,M,24
MBB7_Control_Marin,7,C,2011,LUPIN,L,I,0
MBB7_Burn_Marin,7,B,2011,LUPIN,L,I,9
MBB7_Burn_Marin,7,B,2011,LUPIN,L,M,15
MBB7_Burn_Marin,7,B,2012,LUPIN,L,M,21
MBB7_Burn_Marin,7,B,2012,LUPIN,L,I,0
MBB7_Burn_Marin,7,B,2013,LUPIN,L,I,4
MBB7_Burn_Marin,7,B,2013,LUPIN,L,M,18
MBB7_Control_Marin,7,C,2011,LUPIN,L,M,20
MBB7_Control_Marin,7,C,2012,LUPIN,L,I,1
MBB7_Control_Marin,7,C,2012,LUPIN,L,M,22
MBB7_Control_Marin,7,C,2013,LUPIN,L,I,2
MBB7_Control_Marin,7,C,2013,LUPIN,L,M,22
MBB7_Mechanical_Marin,7,M,2011,LUPIN,L,I,18
MBB7_Mechanical_Marin,7,M,2011,LUPIN,L,M,23
MBB7_Mechanical_Marin,7,M,2012,LUPIN,L,I,3
MBB7_Mechanical_Marin,7,M,2012,LUPIN,L,M,31
MBB7_Mechanical_Marin,7,M,2013,LUPIN,L,I,7
MBB7_Mechanical_Marin,7,M,2013,LUPIN,L,M,25
MBB7_Burn_Marin,7,B,2010,LUPIN,L,M,14
MBB7_Control_Marin,7,C,2010,LUPIN,L,M,17
MBB7_Mechanical_Marin,7,M,2010,LUPIN,L,M,37
MBB7_Burn_Marin,7,B,2010,LUPIN,L,I,0
MBB7_Control_Marin,7,C,2010,LUPIN,L,I,0
MBB7_Mechanical_Marin,7,M,2010,LUPIN,L,I,0
MBB8_Burn_Marin,8,B,2011,LUPIN,L,I,13
MBB8_Burn_Marin,8,B,2011,LUPIN,L,M,20
MBB8_Burn_Marin,8,B,2012,LUPIN,L,I,3
MBB8_Burn_Marin,8,B,2012,LUPIN,L,M,23
MBB8_Burn_Marin,8,B,2013,LUPIN,L,I,2
MBB8_Burn_Marin,8,B,2013,LUPIN,L,M,19
MBB8_Control_Marin,8,C,2011,LUPIN,L,I,10
MBB8_Control_Marin,8,C,2011,LUPIN,L,M,16
MBB8_Control_Marin,8,C,2012,LUPIN,L,I,0
MBB8_Control_Marin,8,C,2012,LUPIN,L,M,21
MBB8_Control_Marin,8,C,2013,LUPIN,L,I,0
MBB8_Control_Marin,8,C,2013,LUPIN,L,M,19
MBB8_Mechanical_Marin,8,M,2011,LUPIN,L,I,19
MBB8_Mechanical_Marin,8,M,2011,LUPIN,L,M,4
MBB8_Mechanical_Marin,8,M,2012,LUPIN,L,I,3
MBB8_Mechanical_Marin,8,M,2012,LUPIN,L,M,20
MBB8_Mechanical_Marin,8,M,2013,LUPIN,L,I,2
MBB8_Mechanical_Marin,8,M,2013,LUPIN,L,M,11
MBB8_Burn_Marin,8,B,2010,LUPIN,L,M,23
MBB8_Burn_Marin,8,B,2010,LUPIN,L,I,2
MBB8_Control_Marin,8,C,2010,LUPIN,L,M,16
MBB8_Control_Marin,8,C,2010,LUPIN,L,I,1
MBB8_Mechanical_Marin,8,M,2010,LUPIN,L,I,1
MBB8_Mechanical_Marin,8,M,2010,LUPIN,L,M,9
MBB9_Burn_Marin,9,B,2011,LUPIN,L,M,23
MBB9_Burn_Marin,9,B,2012,LUPIN,L,M,21
MBB9_Burn_Marin,9,B,2013,LUPIN,L,I,3
MBB9_Burn_Marin,9,B,2013,LUPIN,L,M,18
MBB9_Control_Marin,9,C,2011,LUPIN,L,I,2
MBB9_Control_Marin,9,C,2011,LUPIN,L,M,36
MBB9_Burn_Marin,9,B,2011,LUPIN,L,I,0
MBB9_Burn_Marin,9,B,2012,LUPIN,L,I,0
MBB9_Control_Marin,9,C,2012,LUPIN,L,I,2
MBB9_Mechanical_Marin,9,M,2012,LUPIN,L,I,0
MBB9_Control_Marin,9,C,2012,LUPIN,L,M,35
MBB9_Control_Marin,9,C,2013,LUPIN,L,I,2
MBB9_Control_Marin,9,C,2013,LUPIN,L,M,34
MBB9_Mechanical_Marin,9,M,2011,LUPIN,L,I,2
MBB9_Mechanical_Marin,9,M,2011,LUPIN,L,M,3
MBB9_Mechanical_Marin,9,M,2012,LUPIN,L,M,8
MBB9_Mechanical_Marin,9,M,2013,LUPIN,L,I,2
MBB9_Mechanical_Marin,9,M,2013,LUPIN,L,M,8
MBB9_Burn_Marin,9,B,2010,LUPIN,L,M,26
MBB9_Burn_Marin,9,B,2010,LUPIN,L,I,1
MBB9_Control_Marin,9,C,2010,LUPIN,L,M,29
MBB9_Control_Marin,9,C,2010,LUPIN,L,I,0
MBB9_Mechanical_Marin,9,M,2010,LUPIN,L,M,7
MBB9_Mechanical_Marin,9,M,2010,LUPIN,L,I,0
MBB10_Burn_Milagra,10,B,2011,LUPIN,L,I,16
MBB10_Burn_Milagra,10,B,2011,LUPIN,L,M,44
MBB10_Burn_Milagra,10,B,2012,LUPIN,L,I,10
MBB10_Burn_Milagra,10,B,2012,LUPIN,L,M,56
MBB10_Burn_Milagra,10,B,2013,LUPIN,L,I,119
MBB10_Burn_Milagra,10,B,2013,LUPIN,L,M,50
MBB10_Control_Milagra,10,C,2011,LUPIN,L,I,12
MBB10_Control_Milagra,10,C,2011,LUPIN,L,M,51
MBB10_Control_Milagra,10,C,2012,LUPIN,L,I,2
MBB10_Control_Milagra,10,C,2012,LUPIN,L,M,53
MBB10_Control_Milagra,10,C,2013,LUPIN,L,I,81
MBB10_Control_Milagra,10,C,2013,LUPIN,L,M,51
MBB10_Mechanical_Milagra,10,M,2011,LUPIN,L,I,22
MBB10_Mechanical_Milagra,10,M,2011,LUPIN,L,M,39
MBB10_Mechanical_Milagra,10,M,2012,LUPIN,L,I,2
MBB10_Mechanical_Milagra,10,M,2012,LUPIN,L,M,48
MBB10_Mechanical_Milagra,10,M,2013,LUPIN,L,I,24
MBB10_Mechanical_Milagra,10,M,2013,LUPIN,L,M,43
MBB10_Burn_Milagra,10,B,2010,LUPIN,L,I,5
MBB10_Burn_Milagra,10,B,2010,LUPIN,L,M,45
MBB10_Control_Milagra,10,C,2010,LUPIN,L,I,3
MBB10_Control_Milagra,10,C,2010,LUPIN,L,M,49
MBB10_Mechanical_Milagra,10,M,2010,LUPIN,L,M,44
MBB10_Mechanical_Milagra,10,M,2010,LUPIN,L,I,1
